sku,product,variant,base_price,stock,is_active,value_type,value,max_discount,promo_stock,purchase_limit,product_variant_id
AB-SF-ACC-100,Safi Age Defy Cream Cleanser [50gr & 100gr],AB-SF-ACC-100,42900,2,1,percent,15,,,,13251
AB-SF-ACC-50,Safi Age Defy Cream Cleanser [50gr & 100gr],AB-SF-ACC-50,25100,10,1,percent,10,,,,13252
